n,ccr,shape,P,outdeg,rep,algo,makespan,energy,cost,reliability,load_balance
10,8,4,8,-1,1,HEFT,33592.51195369,3224917.419121758,4.686249033289238e-06,0.9999991564755296,0.05799706695247079
10,8,4,8,-1,1,GA,33593.345094161,3224997.6685906276,4.720872244433849e-06,0.9999991502433568,0.07798500725863194
10,8,4,8,-1,2,HEFT,33593.536470154,3225008.077849121,3.692081955604307e-06,0.9999993354254686,0.10718407076409571
10,8,4,8,-1,2,GA,33594.358881283,3225097.387350573,5.0303291220997274e-06,0.9999990945411679,0.11563269984697115
10,10,0.8,8,-1,0,HEFT,33594.708386301,3225114.2784754997,2.8776990444182754e-06,0.9999994820143061,0.08563836932767213
10,10,0.8,8,-1,0,GA,33595.696920694,3225209.781593591,2.9557114944812684e-06,0.9999994679720724,0.07765182651193657
10,10,1,8,-1,2,HEFT,33595.977741291,3225236.4934805976,2.9238135221627697e-06,0.9999994737137042,0.09792126361977677
10,10,1,8,-1,2,GA,33596.872684101,3225323.3303893777,3.042986522187776e-06,0.9999994522625757,0.05478175663713779
10,10,2,8,-1,0,HEFT,33597.139329743,3225355.975629184,3.9534849943366786e-06,0.999999288372954,0.08780116327611118
10,10,2,8,-1,0,GA,33598.030109924,3225441.5817676163,3.965273244466516e-06,0.9999992862510704,0.10083602177254321
10,10,2,8,-1,1,HEFT,33598.327033826,3225476.0182376886,4.731652505547067e-06,0.9999991483029115,0.06932487566000613
10,10,2,8,-1,1,GA,33599.202132506,3225557.7673874595,4.439621044406926e-06,0.9999992008685311,0.05366105430128877
10,10,2,8,-1,2,HEFT,33599.434139548,3225576.217381423,3.945734472209652e-06,0.9999992897680473,0.09311127268191514
10,10,2,8,-1,2,GA,33600.23402957,3225649.870721391,3.540553316674454e-06,0.9999993627006061,0.093504609949799
10,10,4,8,-1,0,HEFT,33600.488340925,3225673.342726142,3.4188627056816283e-06,0.9999993846049021,0.06577153682583406
10,10,4,8,-1,0,GA,33601.36114441,3225761.7851617727,4.020064394393962e-06,0.9999992763886705,0.06241722128593349
10,10,4,8,-1,1,HEFT,33601.634172012,3225791.076354957,4.418067416675816e-06,0.9999992047481812,0.060196931113695194
10,10,4,8,-1,1,GA,33602.496119374,3225876.7877201186,4.801067211196318e-06,0.9999991358082754,0.10555415545133365
10,10,4,8,-1,2,HEFT,33602.806153091,3225904.0806562277,4.48190691107205e-06,0.9999991932570812,0.06597258496824515
10,10,4,8,-1,2,GA,33603.658056398,3225977.189986976,3.361314311081919e-06,0.999999394963607,0.05167754012129441
20,0.1,0.8,8,-1,0,HEFT,33604.098865357,3226052.831269837,7.666691933465901e-06,0.9999986199964036,0.06469228079334216
20,0.1,0.8,8,-1,0,GA,33605.639670713,3226205.2264606073,8.245228961176407e-06,0.9999985158598879,0.10575883066837104
20,0.1,0.8,8,-1,1,HEFT,33606.150238763,3226250.866255668,7.809216333326833e-06,0.9999985943420477,0.11093557825937715
20,0.1,0.8,8,-1,1,GA,33607.707353007,3226404.4705934385,8.341693122282676e-06,0.9999984984963651,0.11357802486684197
20,0.1,0.8,8,-1,2,HEFT,33608.208715865,3226443.0974683897,7.113791388797432e-06,0.9999987195183699,0.10730705388919376
20,0.1,0.8,8,-1,2,GA,33609.690217035,3226594.710594589,8.326842277690756e-06,0.999998501169513,0.05779492452668593
20,0.1,1,8,-1,0,HEFT,33610.108700734,3226639.201323771,8.884503011197214e-06,0.9999984007907365,0.11035392743941198
20,0.1,1,8,-1,0,GA,33611.642470484,3226790.746206379,9.4404444334537e-06,0.999998300721445,0.10301150847813367
20,0.1,1,8,-1,1,HEFT,33612.135149035,3226830.9227167787,8.520466333195348e-06,0.9999984663172357,0.115738036111603
20,0.1,1,8,-1,1,GA,33613.657604096,3226979.034914934,8.773245699962394e-06,0.9999984208170207,0.1246761703758666
20,0.1,1,8,-1,2,HEFT,33614.102323915,3227011.9380560266,7.508392788925752e-06,0.9999986484902111,0.11099325325902337
20,0.1,1,8,-1,2,GA,33615.678819741,3227166.711598525,7.951537905561661e-06,0.999998568724201,0.056899147955952134
20,0.1,2,8,-1,0,HEFT,33616.103826744,3227250.1968419487,1.3466340377837897e-05,0.9999975760616692,0.12103134343898504
20,0.1,2,8,-1,0,GA,33617.411437205,3227357.4901420255,1.1110099527811852e-05,0.9999980001840844,0.18448576460677202
20,0.1,2,8,-1,1,HEFT,33617.786215258,3227397.6737938905,1.1653375855611456e-05,0.9999979023945454,0.07773531413205759
20,0.1,2,8,-1,1,GA,33619.175483145,3227528.145734248,1.1278986088897607e-05,0.9999979697845647,0.0940114456270384
20,0.1,2,8,-1,2,HEFT,33619.591139371,3227565.0043002525,1.0885648661052175e-05,0.9999980405851606,0.06462990605599948
20,0.1,2,8,-1,2,GA,33621.014138353,3227698.980145435,1.054558960555975e-05,0.9999981017956726,0.07641037368429054
